Y,M,D,SR_MJ
2000,10,1,9.96143456
2000,10,2,11.76654186
2000,10,3,13.53717719
2000,10,4,13.27493244
2000,10,5,12.96532899
2000,10,6,13.01848671
2000,10,7,12.92215848
2000,10,8,12.7185483
2000,10,9,10.89475526
2000,10,10,1.66560856
2000,10,11,3.440109904
2000,10,12,1.495503856
2000,10,13,2.559946928
2000,10,14,8.963680264
2000,10,15,11.43180931
2000,10,16,10.89088924
2000,10,17,10.95210116
2000,10,18,7.95916044
2000,10,19,10.40763724
2000,10,20,5.259714768
2000,10,21,7.586089896
2000,10,22,10.82613347
2000,10,23,10.25074142
2000,10,24,10.02812334
2000,10,25,8.925020104
2000,10,26,2.471350728
2000,10,27,8.139252352
2000,10,28,2.962012592
2000,10,29,5.527758544
2000,10,30,7.897304184
2000,10,31,8.4488558
2000,11,1,7.956260928
2000,11,2,8.356071416
2000,11,3,8.407940464
2000,11,4,7.289695336
2000,11,5,6.049670704
2000,11,6,8.533908152
2000,11,7,8.015862008
2000,11,8,1.332809016
2000,11,9,5.63310748
2000,11,10,3.4552518
2000,11,11,3.388563024
2000,11,12,4.346368488
2000,11,13,3.608603768
2000,11,14,1.488738328
2000,11,15,2.677538248
2000,11,16,7.131510848
2000,11,17,5.416288416
2000,11,18,7.075775784
2000,11,19,2.797062576
2000,11,20,6.55934048
2000,11,21,5.52840288
2000,11,22,5.558042336
2000,11,23,5.233941328
2000,11,24,2.514199072
2000,11,25,4.359577376
2000,11,26,4.065437992
2000,11,27,2.097635848
2000,11,28,5.713327312
2000,11,29,1.80575164
2000,11,30,4.391472008
2000,12,1,6.136656064
2000,12,2,5.983304096
2000,12,3,5.311905984
2000,12,4,5.81352156
2000,12,5,2.322186944
2000,12,6,1.861486704
2000,12,7,0.57345904
2000,12,8,0.819273224
2000,12,9,1.426882072
2000,12,10,2.636622912
2000,12,11,3.548358352
2000,12,12,2.639200256
2000,12,13,2.192997576
2000,12,14,1.610517832
2000,12,15,4.108930672
2000,12,16,1.929141984
2000,12,17,5.653726232
2000,12,18,5.821253592
2000,12,19,2.804794608
2000,12,20,3.16046808
2000,12,21,3.856028792
2000,12,22,1.358904624
2000,12,23,2.405950624
2000,12,24,1.721343624
2000,12,25,5.299019264
2000,12,26,4.732325752
2000,12,27,3.88051356
2000,12,28,1.371147008
2000,12,29,3.628578184
2000,12,30,2.544805032
2000,12,31,3.29738948
2001,1,1,1.663353384
2001,1,2,4.358610872
2001,1,3,5.895030064
2001,1,4,4.41531244
2001,1,5,5.018088768
2001,1,6,5.060937112
2001,1,7,6.010688376
2001,1,8,4.711062664
2001,1,9,1.597631112
